"LISTING","PRICE","SOLD 24H","VIEWS 24H","TOTAL SOLD","REVENUE","CONVERSION","SHOP SALES","AGE","SCORE","COUNTRY"
"Personalized Embroidered Teddy Bear Baby Name Hoop, Baby Name Reveal Sign Heirloom, Baby Name Wall Decor, Baby Shower Gift, Newborn Keepsake","$26.5","8","1,171","308","$8,162","1.9%","6","1 month","0.0","VN"
"Kpop Sideline Football Jersey, Bang Tan Arirang World Tour Concert Outfit For Fan, Bangtan V Suga RM J-Hope Oversized Custom Shirt","$39","13","770","205","$7,995","2.1%","19","1 month","0.0","VN"
"Personalized Teacher Jersey, Custom Name Number Baseball Jersey, First Grade Teacher Shirt, Back To School Gift, Teacher Team Game DayTee","$31","6","29","198","$6,138","5.5%","3","1 month","0.0","VN"
"Personalized Monogram Pillow Cover, Custom Embroidered Initial Pillow, Scalloped Trim Pillowcase, Baby Room Decor, Dorm Room Pillow","$28.5","10","418","211","$6,013.5","2.5%","6","1 month","0.0","VN"
"Personalized Wildflower Embroidered Baby Name Hoop, Custom Lavender Nursery Wall Decor, Floral Baby Name Sign, Baby Shower Gift,Newborn Gift","$26.5","2","196","199","$5,273.5","3.1%","6","1 month","0.0","VN"
"Personalized 1st Birthday Toddler Shirt, It&#39;s Fun To Be One Infant Shirt, Custom Birthday Boy Tee,1st Birthday Baby Outfit,One Year Old Gift","$65.68","4","182","68","$4,466.24","3.3%","11","1 month","0.0","VN"
"Personalized Wedding Flag, Custom Last Name Banner, Established Family Name Sign, Marriage Wall Art Decor, Newlywed Gift","$48.56","1","146","90","$4,370.49","2.6%","3","29 days ago","0.0","VN"
"Personalized Embroidered Woodland Baby Blanket, Custom Safari Animal Name Knit Blanket, Jungle Baby Shower Gift, Nursery Keepsake Gift","$26.5","3","139","144","$3,816","3.1%","6","1 month","0.0","VN"
"Wedding Chair Tag, Personalized Reserved Chair Sign, In Loving Memory Decor, Lace Chair Decoration, Wedding Ceremony Sign,Chair Tag","$97.22","0","0","37","$3,597.14","2.2%","11","1 month","0.0","VN"
"Personalized 10th Anniversary Gift, Custom Song Lyric Sign With Scannable Music Code, Tin Aluminum Vinyl Record Metal Sign, 25th Anniversary","$74.99","3","72","47","$3,524.53","4.3%","6","1 month","0.0","VN"
